Class,Training,Testing,Total,Train Percentage,Test Percentage
glioma,1400,400,1800,77.77777777777777,22.22222222222222
meningioma,1400,400,1800,77.77777777777777,22.22222222222222
notumor,1400,400,1800,77.77777777777777,22.22222222222222
pituitary,1400,400,1800,77.77777777777777,22.22222222222222
